method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
K-Means,9,0.3363300420366144,501.89305577935943,0.9582571322679106,0.016029834747314453,ATTACKS_DMG + SUPERTYPES,weighted_jaccard,-0.9582571322679106,0.664225281245453,0.27470946134767527,0.8295727888728905,1.7685075314660188
K-Means,9,0.3363300420366144,501.89305577935943,0.9582571322679106,0.02272629737854004,ATTACKS_DMG + SUPERTYPES,jaccard,-0.9582571322679106,0.664225281245453,0.27470946134767527,0.8295727888728905,1.7685075314660188
BIRCH,8,0.3156760539194396,458.33198004123705,0.7942691884605317,0.05703115463256836,ATTACKS_DMG + RESISTANCE,jaccard,-0.7942691884605317,0.6429510503357755,0.25069347101838874,0.8683499970180782,1.7619945183722425
BIRCH,8,0.3156760539194396,458.33198004123705,0.7942691884605317,0.0399777889251709,ATTACKS_DMG + RESISTANCE,weighted_jaccard,-0.7942691884605317,0.6429510503357755,0.25069347101838874,0.8683499970180782,1.7619945183722425
DBSCAN,4,0.40897981628453556,256.2989091853965,0.934071481632607,0.02575206756591797,RESISTANCE,jaccard,-0.934071481632607,0.7390567406283993,0.1393090712152479,0.8352918191079033,1.7136576309515505
DBSCAN,4,0.40897981628453556,256.2989091853965,0.934071481632607,0.025633811950683594,RESISTANCE,weighted_jaccard,-0.934071481632607,0.7390567406283993,0.1393090712152479,0.8352918191079033,1.7136576309515505
Agglomerative,10,0.33410935829283583,380.4921788985768,0.9593142345887063,0.024361848831176758,RESISTANCE + SUPERTYPES,weighted_jaccard,-0.9593142345887063,0.6619379099893794,0.20777901402210042,0.8293228224682114,1.6990397464796914
Agglomerative,10,0.33410935829283583,380.4921788985768,0.9593142345887063,0.016653060913085938,RESISTANCE + SUPERTYPES,jaccard,-0.9593142345887063,0.6619379099893794,0.20777901402210042,0.8293228224682114,1.6990397464796914
BIRCH,10,0.2787825962879291,378.72308198932353,0.7216376547518542,0.029200315475463867,SUPERTYPES,weighted_jaccard,-0.7216376547518542,0.6049496758672537,0.20680367965433558,0.8855247236176984,1.6972780791392876
BIRCH,10,0.2787825962879291,378.72308198932353,0.7216376547518542,0.03834676742553711,SUPERTYPES,jaccard,-0.7216376547518542,0.6049496758672537,0.20680367965433558,0.8855247236176984,1.6972780791392876
Agglomerative,8,0.3453112177116098,335.51750002075175,0.9596958933061286,0.020404577255249023,ATTACKS_COSTS + RESISTANCE,weighted_jaccard,-0.9596958933061286,0.6734761631606677,0.1829836793181102,0.8292325740073655,1.6856924164861433
Agglomerative,8,0.3453112177116098,335.51750002075175,0.9596958933061286,0.02425694465637207,ATTACKS_COSTS + RESISTANCE,jaccard,-0.9596958933061286,0.6734761631606677,0.1829836793181102,0.8292325740073655,1.6856924164861433
K-Means,7,0.341624104978413,345.89632011834533,0.9783480980188831,0.014415502548217773,ATTACKS_COSTS + SUPERTYPES,weighted_jaccard,-0.9783480980188831,0.6696783258020409,0.18870570612460325,0.8248220032805156,1.6832060352071596
K-Means,7,0.341624104978413,345.89632011834533,0.9783480980188831,0.021616697311401367,ATTACKS_COSTS + SUPERTYPES,jaccard,-0.9783480980188831,0.6696783258020409,0.18870570612460325,0.8248220032805156,1.6832060352071596
Agglomerative,9,0.274250527009377,411.8615073587137,1.090687940429598,0.021466970443725586,ATTACKS_DMG + SUPERTYPES,weighted_jaccard,-1.090687940429598,0.6002815077738287,0.2250734787746215,0.7982577001310431,1.6236126866794933
Agglomerative,9,0.274250527009377,411.8615073587137,1.090687940429598,0.02297663688659668,ATTACKS_DMG + SUPERTYPES,jaccard,-1.090687940429598,0.6002815077738287,0.2250734787746215,0.7982577001310431,1.6236126866794933
BIRCH,8,0.3078683703535526,323.6058328304366,1.157787061799024,0.04093575477600098,ATTACKS_COSTS + RESISTANCE,weighted_jaccard,-1.157787061799024,0.6349089006982316,0.17641656683980345,0.782391188634578,1.593716656172613
BIRCH,8,0.3078683703535526,323.6058328304366,1.157787061799024,0.0381007194519043,ATTACKS_COSTS + RESISTANCE,jaccard,-1.157787061799024,0.6349089006982316,0.17641656683980345,0.782391188634578,1.593716656172613
BIRCH,9,0.2637963370608474,330.8665711688285,1.0361231511646762,0.044763803482055664,ATTACKS_DMG + SUPERTYPES,weighted_jaccard,-1.0361231511646762,0.5895133767147376,0.18041954010810812,0.8111602961487692,1.5810932129716149
BIRCH,9,0.2637963370608474,330.8665711688285,1.0361231511646762,0.03440260887145996,ATTACKS_DMG + SUPERTYPES,jaccard,-1.0361231511646762,0.5895133767147376,0.18041954010810812,0.8111602961487692,1.5810932129716149
Agglomerative,7,0.2892245827769815,294.79482454830105,1.0946482760639957,0.036753177642822266,ATTACKS_COSTS + SUPERTYPES,jaccard,-1.0946482760639957,0.6157052369948941,0.16053254918054202,0.7973212242191295,1.5735590103945656
Agglomerative,7,0.2892245827769815,294.79482454830105,1.0946482760639957,0.023154258728027344,ATTACKS_COSTS + SUPERTYPES,weighted_jaccard,-1.0946482760639957,0.6157052369948941,0.16053254918054202,0.7973212242191295,1.5735590103945656
BIRCH,10,0.2662854636742627,253.15123448150396,0.9309466856467352,0.046425580978393555,RESISTANCE + SUPERTYPES,weighted_jaccard,-0.9309466856467352,0.5920772522256945,0.13757370256404938,0.8360307201608839,1.5656816749506277
BIRCH,10,0.2662854636742627,253.15123448150396,0.9309466856467352,0.03998923301696777,RESISTANCE + SUPERTYPES,jaccard,-0.9309466856467352,0.5920772522256945,0.13757370256404938,0.8360307201608839,1.5656816749506277
DBSCAN,9,0.4107831584591799,307.72095402678684,1.8098245752286555,0.021572351455688477,ATTACKS_COSTS,jaccard,-1.8098245752286555,0.7409142374767026,0.1676589526334013,0.6282079371729319,1.5367811272830358
DBSCAN,9,0.4107831584591799,307.72095402678684,1.8098245752286555,0.011851072311401367,ATTACKS_COSTS,weighted_jaccard,-1.8098245752286555,0.7409142374767026,0.1676589526334013,0.6282079371729319,1.5367811272830358
BIRCH,7,0.29127340211302827,213.74993602126455,1.2322599422491922,0.05914020538330078,ATTACKS_COSTS + SUPERTYPES,jaccard,-1.2322599422491922,0.6178155827257037,0.11585107090841462,0.7647810502345262,1.4984477038686446
BIRCH,7,0.29127340211302827,213.74993602126455,1.2322599422491922,0.02769017219543457,ATTACKS_COSTS + SUPERTYPES,weighted_jaccard,-1.2322599422491922,0.6178155827257037,0.11585107090841462,0.7647810502345262,1.4984477038686446
K-Means,10,0.2524270991739356,146.44245969366798,1.4409865447767727,0.030995845794677734,ATTACKS_DMG + KEYWORDS,weighted_jaccard,-1.4409865447767727,0.5778027186713117,0.07874327058020551,0.7154247699877485,1.3719707592392658
K-Means,10,0.2524270991739356,146.44245969366798,1.4409865447767727,0.019948244094848633,ATTACKS_DMG + KEYWORDS,jaccard,-1.4409865447767727,0.5778027186713117,0.07874327058020551,0.7154247699877485,1.3719707592392658
K-Means,9,0.24558161192041217,142.8441343991193,1.4670598036775193,0.02003312110900879,RESISTANCE + KEYWORDS,weighted_jaccard,-1.4670598036775193,0.5707516602658111,0.07675945030003092,0.7092593887777421,1.3567704993435843
K-Means,9,0.24558161192041217,142.8441343991193,1.4670598036775193,0.02654242515563965,RESISTANCE + KEYWORDS,jaccard,-1.4670598036775193,0.5707516602658111,0.07675945030003092,0.7092593887777421,1.3567704993435843
K-Means,10,0.24171491500949763,139.3021416537605,1.4755323313149542,0.029566049575805664,SUPERTYPES + KEYWORDS,weighted_jaccard,-1.4755323313149542,0.5667688457859226,0.07480668714903976,0.7072559429140719,1.3488314758490343
K-Means,10,0.24171491500949763,139.3021416537605,1.4755323313149542,0.025220155715942383,SUPERTYPES + KEYWORDS,jaccard,-1.4755323313149542,0.5667688457859226,0.07480668714903976,0.7072559429140719,1.3488314758490343
DBSCAN,4,0.13406547874065233,172.7525527392428,1.1057256538765532,0.015184879302978516,ATTACKS_DMG,jaccard,-1.1057256538765532,0.45588667855083764,0.09324848950417665,0.7947018256513606,1.343836993706375
