method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
K-Means,2,0.3314004389598291,499.38050450801745,1.1450156446450444,0.017046213150024414,SUPERTYPES,coseno,-1.1450156446450444,0.657227972974456,0.2733939701783971,0.6164534714408442,0.5156918048645657
Agglomerative,2,0.3237484096926587,415.85258891230296,1.2586691329497208,0.016596317291259766,ATTACKS_DMG + ATTACKS_COSTS,coseno,-1.2586691329497208,0.6493691065791155,0.22734797365574855,0.5685461375229452,0.48175440591926977
K-Means,3,0.32249255674382415,315.58183542062943,1.255465714231747,0.019011735916137695,ATTACKS_COSTS + RESISTANCE,coseno,-1.255465714231747,0.6480793074692991,0.17207224058289025,0.5698964458371909,0.46334933129646005
BIRCH,2,0.31961736211242375,451.660479984419,1.1888069880710797,0.010245084762573242,SUPERTYPES,coseno,-1.1888069880710797,0.6451263952835449,0.2470876022102366,0.5979944998464093,0.4967361657800636
BIRCH,3,0.31578498546143124,310.8252579633461,1.2821488863386914,0.031027793884277344,ATTACKS_COSTS + RESISTANCE,coseno,-1.2821488863386914,0.6411904281008278,0.169450107042316,0.5586489280074758,0.4564298210502065
K-Means,3,0.311136536528432,336.45483861472195,1.2148579149861438,0.01574254035949707,RESISTANCE + SUPERTYPES,coseno,-1.2148579149861438,0.636416329906152,0.1835787917237609,0.587013486652647,0.46900286942751995
K-Means,3,0.31092126042099394,409.185104139543,0.8799587252792499,0.015280008316040039,ATTACKS_DMG + SUPERTYPES,coseno,-0.8799587252792499,0.6361952348074018,0.22367242424844275,0.7281805335198024,0.5293493975252156
BIRCH,3,0.3023729744555164,310.5510505308088,1.2775765774320906,0.037355899810791016,RESISTANCE + SUPERTYPES,coseno,-1.2775765774320906,0.627415885569929,0.16929894614724222,0.5605762523054956,0.45243036134088893
Agglomerative,3,0.2992016020265567,293.04903292415895,1.3296353296166845,0.01765584945678711,ATTACKS_COSTS + RESISTANCE,coseno,-1.3296353296166845,0.6241587897932583,0.1596507005743995,0.538632394167409,0.440813961511689
K-Means,2,0.29714982388271427,340.1194644242419,1.4072244628852697,0.01860213279724121,ATTACKS_DMG + RESISTANCE,coseno,-1.4072244628852697,0.6220515513415554,0.18559897079896606,0.5059269438434042,0.4378591553279752
K-Means,5,0.2938157311028619,220.233433506962,1.300479193505063,0.017905235290527344,WEAKNESS,coseno,-1.300479193505063,0.618627336823853,0.11951002648183487,0.5509223182981204,0.42968656053460275
Agglomerative,3,0.2872740585230959,307.048626016199,1.3175578436930258,0.01765751838684082,RESISTANCE + SUPERTYPES,coseno,-1.3175578436930258,0.6119088404601486,0.167368182930294,0.5437233083106017,0.44100011056701477
Agglomerative,5,0.28206454899733663,203.22921916476122,1.319485243476509,0.018960237503051758,WEAKNESS,coseno,-1.319485243476509,0.6065585160012701,0.11013620230715954,0.5429108687946839,0.4198685290343711
Agglomerative,3,0.26743354214749854,276.40054975832385,1.3866276143090224,0.016283273696899414,ATTACKS_COSTS + SUPERTYPES,coseno,-1.3866276143090224,0.5915320277263882,0.15047297846204802,0.5146089483917685,0.4188713181934016
BIRCH,2,0.2652578726889416,168.5853008695903,1.2724781281197797,0.04819941520690918,RESISTANCE + PKMN_TYPES,coseno,-1.2724781281197797,0.5892975491327713,0.09103823092868776,0.5627253558421471,0.4143537119678687
